Sequence_ID	JMF-2002-2-0001A	JMF-2002-2-0002A	JMF-2002-2-0003A	JMF-2002-2-0004A	JMF-2002-2-0005A	JMF-2002-2-0006A	JMF-2002-2-0007A	JMF-2002-2-0008A	JMF-2002-2-0009A	JMF-2002-2-0010A	JMF-2002-2-0011A	JMF-2002-2-0012A	JMF-2002-2-0013A	JMF-2002-2-0014A	JMF-2002-2-0015A	JMF-2002-2-0016A	JMF-2002-2-0017A	JMF-2002-2-0018A	JMF-2002-2-0018B	JMF-2002-2-0019A	JMF-2002-2-0020A	JMF-2002-2-0021A	JMF-2002-2-0021B	JMF-2002-2-0022A	JMF-2002-2-0022B	JMF-2002-2-0023A	JMF-2002-2-0024A	JMF-2002-2-0025A	JMF-2002-2-0026A	JMF-2002-2-0027A	JMF-2002-2-0028A	JMF-2002-2-0029A	JMF-2002-2-0030A	JMF-2002-2-0031A
ASV_kck_v4y	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_kgy_i2b	0	0	1	0	0	0	0	0	8	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV_khs_vo9	0	5	1	0	0	0	0	0	0	1	1	1	0	0	1	2	5	1	0	0	0	4	0	1	0	0	4	0	10	20	4	2	2	0
ASV_kig_9ax	4	13	4	1	5	0	0	4	0	14	16	2	0	13	18	12	6	10	0	3	5	1	0	0	0	3	0	20	73	13	9	27	10	0
ASV_kmx_535	0	4	4	0	0	0	0	0	100	0	0	0	57	0	0	0	0	2	0	0	0	0	0	0	0	0	14	0	0	0	3	3	0	0
ASV_kn0_tju	0	0	5	0	0	0	0	0	9	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ASV_knn_zef	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
ASV_knu_x2o	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_knw_icb	0	0	0	0	0	0	0	3	0	2	1	1	1	0	0	3	4	0	0	0	1	0	0	0	0	0	0	3	0	6	5	0	4	0
ASV_koj_92j	0	0	2	0	0	0	0	0	0	1	5	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	3	2	0	0	0
